R1-PA1:VH,R1-PM1:V,R1-PA2:VH,R1-PM2:V,R1-PA3:VH,R1-PM3:V,R1-PA4:IH,R1-PM4:I,R1-PA5:IH,R1-PM5:I,R1-PA6:IH,R1-PM6:I,R1-PA7:VH,R1-PM7:V,R1-PA8:VH,R1-PM8:V,R1-PA9:VH,R1-PM9:V,R1-PA10:IH,R1-PM10:I,R1-PA11:IH,R1-PM11:I,R1-PA12:IH,R1-PM12:I,R1:F,R1:DF,R1-PA:Z,R1-PA:ZH,R1:S,R2-PA1:VH,R2-PM1:V,R2-PA2:VH,R2-PM2:V,R2-PA3:VH,R2-PM3:V,R2-PA4:IH,R2-PM4:I,R2-PA5:IH,R2-PM5:I,R2-PA6:IH,R2-PM6:I,R2-PA7:VH,R2-PM7:V,R2-PA8:VH,R2-PM8:V,R2-PA9:VH,R2-PM9:V,R2-PA10:IH,R2-PM10:I,R2-PA11:IH,R2-PM11:I,R2-PA12:IH,R2-PM12:I,R2:F,R2:DF,R2-PA:Z,R2-PA:ZH,R2:S,R3-PA1:VH,R3-PM1:V,R3-PA2:VH,R3-PM2:V,R3-PA3:VH,R3-PM3:V,R3-PA4:IH,R3-PM4:I,R3-PA5:IH,R3-PM5:I,R3-PA6:IH,R3-PM6:I,R3-PA7:VH,R3-PM7:V,R3-PA8:VH,R3-PM8:V,R3-PA9:VH,R3-PM9:V,R3-PA10:IH,R3-PM10:I,R3-PA11:IH,R3-PM11:I,R3-PA12:IH,R3-PM12:I,R3:F,R3:DF,R3-PA:Z,R3-PA:ZH,R3:S,R4-PA1:VH,R4-PM1:V,R4-PA2:VH,R4-PM2:V,R4-PA3:VH,R4-PM3:V,R4-PA4:IH,R4-PM4:I,R4-PA5:IH,R4-PM5:I,R4-PA6:IH,R4-PM6:I,R4-PA7:VH,R4-PM7:V,R4-PA8:VH,R4-PM8:V,R4-PA9:VH,R4-PM9:V,R4-PA10:IH,R4-PM10:I,R4-PA11:IH,R4-PM11:I,R4-PA12:IH,R4-PM12:I,R4:F,R4:DF,R4-PA:Z,R4-PA:ZH,R4:S,control_panel_log1,control_panel_log2,control_panel_log3,control_panel_log4,relay1_log,relay2_log,relay3_log,relay4_log,snort_log1,snort_log2,snort_log3,snort_log4
-12.90300955,131409.0081,-132.8631831,131383.9348,107.1201894,131459.1546,-9.923629012,330.14733,-129.4082476,329.04867,107.5900148,338.20417,-12.88009123,131434.0813,0.0,0.0,0.0,0.0,-10.59398963,332.34465,175.3651924,6.22574,38.40536101,6.04263,59.999,0.0,10.83379056,-0.076321343,0,-18.00933908,130726.6797,-137.9525818,130576.0859,101.9998184,130803.7578,159.7000134,333.114624,40.03692625,332.2391357,-82.82867954,342.5731812,-17.98736636,130702.1406,0.0,0.0,0.0,0.0,158.9584461,335.8898315,-13.88946545,6.33430481,-145.2804596,6.185531616,59.99900055,0.0,10.703564,-3.131222816,0,-18.0080635,130255.6377,-137.9739666,130230.5644,102.0323242,130280.7109,156.9388697,346.0779,37.39695529,344.61302,-85.7545932,355.2334,-17.97941561,130255.6377,0.0,0.0,0.0,0.0,156.1711062,348.45833,-17.80752827,6.77507,-153.0599454,6.95818,59.999,0.01,10.21322112,-3.081140818,0,-12.67382643,132111.0596,-132.6626479,131459.1546,107.3379133,132186.2794,-12.85144334,339.85216,-132.485031,338.7535,104.3585328,349.37388,-12.66236727,131910.4735,0.0,0.0,0.0,0.0,-13.68223215,342.59881,170.930499,6.77507,39.24760897,6.77507,60.0,0.0,10.55101602,-0.026702574,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-89.22098786,131308.715,150.7910325,130656.81,30.80221107,131358.8615,-93.10564171,448.6195,147.1355618,447.88706,26.91182764,448.25328,-89.2095287,131108.1288,0.0,0.0,0.0,0.0,-93.01969804,448.25328,0.0,0.0,0.0,0.0,59.999,0.0,8.287751618,0.070484311,0,-96.07356309,129127.3405,143.955646,129102.2672,23.96109499,129177.487,78.98223206,453.92969,-40.63989641,452.46481,-160.9553038,453.19725,-96.05064478,129127.3405,0.0,0.0,0.0,0.0,79.13120109,453.19725,0.0,0.0,0.0,0.0,60.0,0.0,8.038614717,-3.051108864,0,-96.10221098,129102.2672,143.9269981,129052.1207,23.92098795,129177.487,78.95358417,451.18304,-40.80605417,449.16883,-161.1100024,450.08438,-96.08502224,129102.2672,0.0,0.0,0.0,0.0,79.01660953,450.26749,0.0,0.0,0.0,0.0,59.999,0.0,8.073863071,-3.053175271,0,-89.34356668,131716.625,150.7241886,131562.125,30.671084,131788.2188,-93.04595952,445.8560791,147.2470076,445.4841614,26.97418264,446.6228638,-89.31610249,131688.6719,0.0,0.0,0.0,0.0,-92.94159423,445.9877014,0.0,0.0,0.0,0.0,60.0,0.0,8.369283436,0.066133808,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-95.52925318,131985.6933,144.4942264,131358.8615,24.48248659,132060.9131,-96.78403075,338.57039,143.1936122,339.11972,23.27354564,338.38728,-95.51206445,131810.1804,0.0,0.0,0.0,0.0,-96.77830118,338.57039,0.0,0.0,0.0,0.0,60.0,0.0,11.10202197,0.023307319,0,-100.7030621,130481.2971,139.3376062,130456.2238,19.33159601,130506.3704,72.74845125,343.33125,-47.14869696,343.33125,-167.2406508,342.59881,-100.6744142,130481.2971,0.0,0.0,0.0,0.0,72.78855829,343.14814,0.0,0.0,0.0,0.0,60.0,0.0,10.78540181,-3.024095794,0,-100.73171,130431.1505,139.2917696,130406.0773,19.28575938,130531.4436,72.66250758,341.50015,-47.25755894,340.5846,-167.3896198,339.66905,-100.7145212,130456.2238,0.0,0.0,0.0,0.0,72.67396673,340.5846,0.0,0.0,0.0,0.0,60.0,0.0,10.80451793,-3.0223141,0,-95.64423178,132428.8594,144.4235304,132283.9688,24.37042232,132504.6719,-96.68243419,336.9197998,143.3468603,337.2860107,23.40362612,336.9483948,-95.61676076,132404.9688,0.0,0.0,0.0,0.0,-96.63848876,337.0456543,0.0,0.0,0.0,0.0,60.0,0.0,11.18986527,0.019348048,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-69.46540308,132010.7666,170.5466173,131358.8615,50.56352542,132060.9131,-75.04028243,441.47821,168.61002,420.42056,46.19185744,434.33692,-69.45394393,131810.1804,0.0,0.0,0.0,0.0,-73.44745976,431.95649,-165.9400366,10.25416,-85.0269368,10.07105,60.0,0.0,8.047506267,0.125937087,0,-76.3466262,128676.0216,163.6997716,128650.9484,43.70522061,128701.0949,97.24239699,450.99993,-19.30294812,430.49161,-141.6122486,444.40797,-76.31224873,128676.0216,0.0,0.0,0.0,0.0,98.74927599,441.84443,5.912924446,10.07105,87.90318493,9.70483,60.0,0.0,7.6977506,-3.0032478,0,-76.37527409,128625.8751,163.6596646,128625.8751,43.65938399,128701.0949,106.0086513,378.67148,-10.1356234,356.14895,-132.7886986,370.98086,-76.35235578,128650.9484,0.0,0.0,0.0,0.0,107.6530401,368.41732,18.9190664,9.70483,101.2588311,9.88794,60.001,0.0,9.046293958,3.12651724,0,-70.35370102,129779.2813,169.7140543,129619.3359,49.66094966,129859.4922,-65.03082531,379.1313171,178.9645483,358.543396,56.32415778,373.0831299,-70.3317283,129749.7969,0.0,0.0,0.0,0.0,-63.28948908,370.0961914,-155.3768998,10.0479126,-72.51251208,9.344100952,60.00099945,0.0,9.159646854,-0.064814652,0.0,0,0,0,0,0,0,0,0,0,0,0,0
70.21024822,132211.3527,-49.77284366,131584.521,-169.7673947,132286.5725,70.06700877,336.73929,-52.9069228,347.35967,-171.0107131,340.5846,70.22743695,132035.8398,0.0,0.0,0.0,0.0,68.70336921,341.50015,150.4071508,6.04263,-131.3161971,6.04263,59.999,0.0,11.59852924,-0.030990255,0,64.92757734,130330.8575,-55.0383258,130305.7842,-175.0386064,130355.9307,-120.2008158,343.51436,117.0209001,353.76852,-1.260507149,346.99345,64.95622523,130330.8575,0.0,0.0,0.0,0.0,-121.4957005,347.909,-38.98404838,5.85952,38.33660607,5.67641,59.999,0.0,11.17212093,-3.082575816,0,64.89319988,130305.7842,-55.07270327,130280.7109,-175.084443,130355.9307,-117.1584099,323.18915,120.8539877,329.96422,1.667307184,328.49934,64.91611819,130305.7842,0.0,0.0,0.0,0.0,-118.2183819,327.21757,-17.30905499,3.47909,24.12725275,4.21153,59.999,0.0,11.68531216,-3.136955223,0,69.93072789,131910.4063,-50.02349952,131762.8125,-170.0491434,131988.3281,73.60015823,321.9051514,-48.03497532,328.2451782,-167.5222876,326.499939,69.95819208,131885.3281,0.0,0.0,0.0,0.0,72.67731088,325.5328979,-179.7116071,3.232955933,-145.2749681,3.398895264,60.0,0.0,11.82837945,-0.089168059,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-84.1159339,132035.8398,155.8960865,131985.6933,35.88434671,132085.9864,-82.58613659,314.9492,155.2658329,320.25939,37.38549613,313.48432,-84.1159339,132035.8398,0.0,0.0,0.0,0.0,-83.32525215,316.23097,-27.95461082,4.76086,95.64384474,4.02842,59.999,0.0,12.32227637,-0.039433709,0,-88.94806458,131145.875,151.1142061,131000.2813,31.06658952,131235.3906,86.23992872,319.1470947,-35.62591496,325.8075562,-153.5696454,318.8095093,-88.92609186,131127.0156,0.0,0.0,0.0,0.0,85.67413634,321.2070313,142.7206413,4.257202148,-88.73932034,4.417419434,60.0,0.0,12.12913256,-3.06686286,0,-88.94596812,130681.8832,151.1004297,130656.81,31.09441954,130706.9565,86.16712281,316.41408,-35.63224528,323.18915,-153.6500919,316.04786,-88.9230498,130681.8832,0.0,0.0,0.0,0.0,85.6228129,318.42829,144.0530489,4.21153,-87.05520739,4.21153,59.999,0.0,12.18498617,-3.064276135,0,-84.05863812,132085.9864,155.9476527,131434.0813,35.95310164,132161.2062,-82.56894786,312.01944,155.495016,318.97762,37.54019474,311.10389,-84.05290855,131885.4002,0.0,0.0,0.0,0.0,-83.19347185,314.03365,-23.13030619,4.57775,104.5476089,4.21153,60.0,0.0,12.49687101,-0.033815449,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-95.20266724,130807.2496,144.8036236,130180.4178,24.80907253,130882.4694,-100.4967973,511.06001,139.5782485,511.42623,19.50348335,510.8769,-95.19693766,130631.7367,0.0,0.0,0.0,0.0,-100.4681494,511.06001,0.0,0.0,0.0,0.0,60.0,0.0,7.270732541,0.09407098,0,-103.0407299,128224.7028,136.9942088,128199.6295,16.9939282,128249.7761,72.656778,516.91953,-47.24609979,516.73642,-167.2979466,516.73642,-103.0178116,128224.7028,0.0,0.0,0.0,0.0,72.7083442,516.73642,0.0,0.0,0.0,0.0,60.0,0.0,7.04453449,-3.065079321,0,-103.0636482,128199.6295,136.9598313,128174.5562,16.95382116,128274.8493,72.50780897,514.17288,-47.33777303,513.80666,-167.401079,512.15867,-103.0464595,128224.7028,0.0,0.0,0.0,0.0,72.59375264,513.44044,0.0,0.0,0.0,0.0,60.0,0.0,7.07498028,-3.059039698,0,-95.32562394,131231.4219,144.7366399,131074.2813,24.68353356,131305.2656,-100.4672264,508.5067749,139.6279999,508.9988708,19.61334241,508.7871704,-95.29815975,131202.375,0.0,0.0,0.0,0.0,-100.4067997,508.7585449,0.0,0.0,0.0,0.0,60.0,0.0,7.341182001,0.091247027,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-34.69832407,130957.6892,-154.6928751,130355.9307,85.33060443,131032.909,-36.93285947,465.83184,-158.8525487,475.35356,83.41119582,463.81763,-34.68686492,130782.1763,0.0,0.0,0.0,0.0,-37.46571022,468.21227,15.37818722,6.77507,151.9369481,6.59196,60.0,0.0,8.315856722,0.03235789,0,-42.00353596,128625.8751,-161.9751687,128600.8018,78.04258127,128650.9484,135.5904622,472.05758,13.78536455,480.29753,-104.0605948,469.12782,-41.97488807,128625.8751,0.0,0.0,0.0,0.0,135.0977185,473.88868,-173.9156091,6.77507,-33.97639725,6.22574,60.001,0.0,8.029939318,-3.104762473,0,-42.02072469,128575.7286,-162.0095462,128550.6553,78.00247423,128650.9484,135.4013861,469.49404,13.72806877,477.55088,-104.2267525,465.83184,-42.00926554,128600.8018,0.0,0.0,0.0,0.0,134.9602086,470.95892,-174.053119,6.59196,-29.63910674,5.67641,60.0,0.0,8.057826861,-3.098643402,0,-34.81292778,131386.7031,-154.7671552,131229.5625,85.20172631,131471.625,-36.8783565,463.4570923,-158.8156132,473.1903076,83.35601795,463.1366577,-34.79095507,131363.4063,0.0,0.0,0.0,0.0,-37.45513865,466.5412903,18.04229815,6.322860718,147.1591168,6.694793701,60.0,0.0,8.381657747,0.025722837,0.0,0,0,0,0,0,0,0,0,0,0,0,0
70.26181442,130180.4178,-49.72127746,130180.4178,-169.7100989,130255.6377,70.12430455,470.22648,-54.44817927,498.79164,-169.0340087,466.56428,70.27900315,130205.4911,0.0,0.0,0.0,0.0,68.8122312,478.10021,126.38876,17.21234,-98.77792388,17.76167,59.988,0.03,8.773110163,-0.012488865,0,62.67425979,128236.0469,-57.27997104,128104.0234,-177.3110961,128329.0469,-116.7819187,476.5777588,118.7869344,503.3283081,3.924865754,472.1203003,62.6962325,128220.375,0.0,0.0,0.0,0.0,-118.078316,483.6273193,-60.60882424,16.954422,73.90777629,16.64543152,59.98600006,0.0,8.458260998,3.117662182,0,62.67012363,127748.3107,-57.29577951,127723.2374,-177.2731418,127773.3839,-117.0094409,475.17045,118.4762129,501.7214,3.644011577,470.04337,62.7045011,127748.3107,0.0,0.0,0.0,0.0,-118.3558917,481.94552,-60.9627094,17.39545,73.41881187,16.4799,59.988,0.03,8.446853371,3.1213964,0,70.33629893,130230.5644,-49.66398168,129603.7326,-169.6585327,130305.7842,70.14722286,469.31093,-54.47682716,495.67877,-169.2631918,464.36696,70.34202851,130055.0515,0.0,0.0,0.0,0.0,68.73774668,476.086,126.4517854,17.39545,-100.3306395,16.4799,59.988,0.04,8.722154784,-0.013266115,0.0,0,0,0,0,0,0,0,0,0,0,0,0
-14.85106605,131709.8873,-134.8226988,131659.7408,105.1664033,131734.9606,-12.96030533,348.64144,-136.0087214,359.44493,107.3035359,345.52857,-14.83387732,131709.8873,0.0,0.0,0.0,0.0,-13.91141527,351.02187,41.80300073,8.23995,174.6604543,7.14129,59.999,0.0,11.37846202,-0.044466247,0,-20.27252226,130578.1484,-140.2322394,130435.1484,99.7256523,130658.9453,157.2445741,352.4379883,34.13177692,365.1065674,-82.29034452,350.6641235,-20.25604272,130555.4766,0.0,0.0,0.0,0.0,156.3327029,355.9284058,-147.9556261,8.371353149,-14.59808306,8.359909058,60.0,0.0,11.25640816,-3.110718809,0,-20.28270595,130105.198,-140.2543387,130080.1248,99.75768171,130155.3446,157.110757,350.65565,34.0680705,362.5578,-82.52311123,348.45833,-20.25405806,130105.198,0.0,0.0,0.0,0.0,156.188295,353.76852,-147.2845308,8.23995,-14.6046942,7.87373,60.0,0.0,11.22507852,-3.107927194,0,-14.78804069,131734.9606,-134.765403,131108.1288,105.2236991,131785.1071,-12.92019828,345.34546,-135.9227777,357.61383,107.3551021,344.06369,-14.77658154,131559.4477,0.0,0.0,0.0,0.0,-13.85411949,348.82455,45.10896721,7.87373,174.0760373,7.69062,59.999,0.0,11.53766315,-0.045677374,0.0,0,0,0,0,0,0,0,0,0,0,0,0
